Time,Flow,Pressure,ANFIS_Output
0.3125,1.1,2.5,4.664307791153379
0.316,1.1,2.5,4.664309874854627
0.3194,1.1,2.5,4.664311801450087
0.3229,1.1,2.5,4.6643136713778865
0.3264,1.1,2.5,4.664315409068159
0.3299,1.1,2.5,4.664316991643276
0.3333,1.1,2.5,4.664318352156258
0.3333,1.1,2.5,4.664318352156258
0.3368,1.1,2.5,4.664319532800939
0.3403,1.1,2.5,4.66432044080526
0.3438,1.1,2.5,4.66432101186756
0.3472,2.0,2.5,2.5139828618734295
0.3507,1.0,4.5,5.532431724081066
0.3542,1.0,4.5,5.532434599391712
0.3576,1.0,4.5,5.532437069988481
0.3611,1.0,4.5,5.532439197442884
0.3646,1.0,4.5,5.5324407978194685
0.3681,1.0,4.5,5.532441740973035
0.3715,1.0,4.5,5.532441878803576
0.375,1.0,4.5,5.532441037448744
0.3785,1.0,4.5,5.532438984760968
0.3819,1.0,4.5,5.532435601087111
0.3854,1.0,4.5,5.5324304329558025
0.3889,1.0,4.5,5.532423294272631
0.3924,1.0,4.5,5.532413942360191
0.3958,1.0,4.5,5.53240255965662
0.3993,1.0,4.5,5.532388385356623
0.4028,1.0,4.5,5.532371762227277
0.4063,1.0,4.5,5.532352906409658
0.4097,1.0,4.5,5.532332833957613
0.4132,1.0,4.5,5.532310926426077
0.4167,1.0,4.5,5.532288449780071
0.4201,1.0,4.5,5.532266781392216
0.4236,1.0,4.5,5.532245343770195
0.4271,1.0,4.5,5.532225382814079
0.4306,1.0,4.5,5.532207337122077
0.434,1.0,4.5,5.532191885078699
0.4375,1.0,4.5,5.532178203251338
0.441,1.0,4.5,5.532166728150024
0.4444,1.0,4.5,5.5321575532180285
0.4479,1.0,4.5,5.532149935953374
0.4514,1.0,4.5,5.532143940781783
0.4549,1.0,4.5,5.532139331385537
0.4583,1.0,4.5,5.532135969390954
0.4618,1.0,4.5,5.532133461553475
0.4653,1.0,4.5,5.53213174832772
0.4688,1.0,4.5,5.532130682562749
0.4722,1.0,4.5,5.5321301515266565
0.4757,1.0,4.5,5.532130026886785
0.4792,1.0,4.5,5.5321302512286294
0.4826,1.0,4.5,5.53213074315385
0.4861,1.1,2.5,4.66341081484478
0.4896,1.1,2.5,4.663411371884222
0.4931,1.1,2.5,4.663412406070325
0.4965,1.1,2.5,4.6634138211117735
0.5,1.1,2.5,4.663415669715016
0.5035,1.1,2.5,4.663417901486159
0.5069,1.1,2.5,4.6634204381702675
0.5104,1.1,2.5,4.663423447923113
0.5139,1.1,2.5,4.663426900463772
0.5174,1.1,2.5,4.663430857184558
0.5208,1.1,2.5,4.663435266829053
0.5243,1.1,2.5,4.663440504778107
0.5278,1.1,2.5,4.663446605361938
0.5313,1.1,2.5,4.663453766470422
0.5347,1.1,2.5,4.663461971989069
0.5382,1.1,2.5,4.663471996900787
0.5417,1.1,2.5,4.663483974516957
0.5451,1.0,4.5,5.532172371507344
0.5486,1.0,4.5,5.532178332284066
0.5521,1.0,4.5,5.532185236644693
0.5556,1.0,4.5,5.532193218639264
0.559,1.0,4.5,5.532202119073005
0.5625,1.0,4.5,5.532212550674383
0.566,1.0,4.5,5.532224312572028
0.5694,1.0,4.5,5.532236989687774
0.5729,1.0,4.5,5.532251224541198
0.5764,1.0,4.5,5.53226646953641
0.5799,1.0,4.5,5.532282449210367
0.5833,1.0,4.5,5.532298355948299
0.5868,1.0,4.5,5.532314766338544
0.5903,1.0,4.5,5.532330854757988
0.5938,1.0,4.5,5.53234629996825
0.5972,1.0,4.5,5.532360445943517
0.6007,1.0,4.5,5.532373953103495
0.6042,1.0,4.5,5.532386295282805
0.6076,1.0,4.5,5.532397145592319
0.6111,1.1,2.5,4.66424782720722
0.6146,1.1,2.5,4.664274764148889
0.6181,1.1,2.5,4.664298139362729
0.6215,1.1,2.5,4.664317804108116
0.625,1.1,2.5,4.6643353022877605
0.6285,1.1,2.5,4.664350393780467
0.6319,1.1,2.5,4.664363084160616
0.6354,2.0,2.5,2.5378979443693095
0.6389,1.0,4.5,5.532456662856947
0.6424,1.0,4.5,5.532460526993377
0.6458,1.0,4.5,5.532464009017403
0.6493,1.0,4.5,5.532467360438984
0.6528,1.0,4.5,5.532470515104239
0.6563,1.0,4.5,5.5324735063145924
0.6597,1.0,4.5,5.5324762817134046
0.6632,1.0,4.5,5.532479026807377
0.6667,1.0,4.5,5.532481676943547
0.6701,1.0,4.5,5.53248417510665
0.6736,1.0,4.5,5.53248668066011
0.6771,1.0,4.5,5.532489129515193
0.6806,1.0,4.5,5.532491530251395
0.684,1.0,4.5,5.532493823004805
0.6875,1.0,4.5,5.5324961483033785
0.691,1.0,4.5,5.532498442935902
0.6944,1.0,4.5,5.532500646382881
0.6979,1.0,4.5,5.53250289144108
0.7014,1.0,4.5,5.532505115643226
0.7049,1.0,4.5,5.532507321236841
0.7083,1.1,2.5,4.6644693340594765
0.7118,1.1,2.5,4.66447185310346
0.7153,1.1,2.5,4.664474321892809
0.7188,1.1,2.5,4.664476744402328
0.7222,1.1,2.5,4.66447905657178
0.7257,1.1,2.5,4.664481397207319
0.7292,1.1,2.5,4.664483700164047
0.7326,1.1,2.5,4.664485903258989
